globalTracer.robotStartMode_Info: [0.032] Sat Mar 18 10:10:15 PDT 2023: ***** TELEOP_MODE *****
globalTracer.lfDrive.recordResponseCode_Err: setSelectedSensorPosition (ErrCode=SigNotUpdated)
globalTracer.rfDrive.recordResponseCode_Err: setSelectedSensorPosition (ErrCode=SigNotUpdated)
globalTracer.lbDrive.recordResponseCode_Err: setSelectedSensorPosition (ErrCode=SigNotUpdated)
globalTracer.rbDrive.recordResponseCode_Err: setSelectedSensorPosition (ErrCode=SigNotUpdated)
globalTracer.startCompetition_Warn: TELEOP_MODE.prePeriodicTasks took too long (0.080s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.179s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.689/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.095s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.112/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.071s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.093/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.086s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.103/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.102s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.168/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.081s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.109/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.060/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.074s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.102/0.020)
globalTracer.startCompetition_Warn: TELEOP_MODE.periodic took too long (0.069s/0.040s)
globalTracer.startCompetition_Warn: TELEOP_MODE took too long (0.098/0.020)
